category_id,category,subcat,fid,feature,type,lemma,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,aboard,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,above,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,abroad,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,across,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,ahead,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,alongside,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,around,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,ashore,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,astern,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,away,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,behind,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,below,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,beneath,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,beside,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,downhill,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,downstairs,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,downstream,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,east,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,far,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,hereabouts,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,indoors,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,inland,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,inshore,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,inside,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,locally,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,near,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,nearby,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,north,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,nowhere,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,outdoors,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,outside,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,overboard,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,overland,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,overseas,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,south,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,underfoot,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,underground,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,underneath,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,uphill,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,upstream,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,upstairs,
B,Place and time adverbials,,4,PlaceAdverbials,lemma,west,
B,Place and time adverbials,,5,TimeAdverbials,lemma,afterwards,
B,Place and time adverbials,,5,TimeAdverbials,lemma,again,
B,Place and time adverbials,,5,TimeAdverbials,lemma,earlier,
B,Place and time adverbials,,5,TimeAdverbials,lemma,early,
B,Place and time adverbials,,5,TimeAdverbials,lemma,eventually,
B,Place and time adverbials,,5,TimeAdverbials,lemma,formerly,
B,Place and time adverbials,,5,TimeAdverbials,lemma,immediately,
B,Place and time adverbials,,5,TimeAdverbials,lemma,initially,
B,Place and time adverbials,,5,TimeAdverbials,lemma,instantly,
B,Place and time adverbials,,5,TimeAdverbials,lemma,late,
B,Place and time adverbials,,5,TimeAdverbials,lemma,lately,
B,Place and time adverbials,,5,TimeAdverbials,lemma,later,
B,Place and time adverbials,,5,TimeAdverbials,lemma,momentarily,
B,Place and time adverbials,,5,TimeAdverbials,lemma,now,
B,Place and time adverbials,,5,TimeAdverbials,lemma,nowadays,
B,Place and time adverbials,,5,TimeAdverbials,lemma,once,
B,Place and time adverbials,,5,TimeAdverbials,lemma,originally,
B,Place and time adverbials,,5,TimeAdverbials,lemma,presently,
B,Place and time adverbials,,5,TimeAdverbials,lemma,previously,
B,Place and time adverbials,,5,TimeAdverbials,lemma,recently,
B,Place and time adverbials,,5,TimeAdverbials,lemma,shortly,
B,Place and time adverbials,,5,TimeAdverbials,lemma,simultaneously,
B,Place and time adverbials,,5,TimeAdverbials,lemma,soon,
B,Place and time adverbials,,5,TimeAdverbials,lemma,subsequently,
B,Place and time adverbials,,5,TimeAdverbials,lemma,today,
B,Place and time adverbials,,5,TimeAdverbials,lemma,tomorrow,
B,Place and time adverbials,,5,TimeAdverbials,lemma,tonight,
B,Place and time adverbials,,5,TimeAdverbials,lemma,yesterday,
C,Pronouns and pro-verbs,personal pronouns,6,FirstPersonPronouns,lemma,i,
C,Pronouns and pro-verbs,personal pronouns,6,FirstPersonPronouns,lemma,me,
C,Pronouns and pro-verbs,personal pronouns,6,FirstPersonPronouns,lemma,we,
C,Pronouns and pro-verbs,personal pronouns,6,FirstPersonPronouns,lemma,us,
C,Pronouns and pro-verbs,personal pronouns,6,FirstPersonPronouns,lemma,my,
C,Pronouns and pro-verbs,personal pronouns,6,FirstPersonPronouns,lemma,our,
C,Pronouns and pro-verbs,personal pronouns,6,FirstPersonPronouns,lemma,myself,
C,Pronouns and pro-verbs,personal pronouns,6,FirstPersonPronouns,lemma,ourselves,
C,Pronouns and pro-verbs,personal pronouns,7,SecondPersonPronouns,lemma,you,
C,Pronouns and pro-verbs,personal pronouns,7,SecondPersonPronouns,lemma,your,
C,Pronouns and pro-verbs,personal pronouns,7,SecondPersonPronouns,lemma,yourself,
C,Pronouns and pro-verbs,personal pronouns,7,SecondPersonPronouns,lemma,yourselves,
